Customer ID,Review Text,Rating,Sentiment
1049,Stopped working after a month.,3,Negative
1047,Amazing features and great value.,1,Positive
1013,Could be better for the price.,3,Neutral
1027,Not satisfied with the quality.,3,Negative
1050,Amazing features and great value.,3,Positive
1037,Customer service was unhelpful.,4,Negative
1011,The design is sleek and stylish.,5,Positive
1041,Not satisfied with the quality.,1,Negative
1019,Great product! Highly recommend.,5,Positive
1019,Not satisfied with the quality.,1,Negative
1047,Decent purchase for the price.,3,Neutral
1028,Fast delivery and good quality.,1,Positive
1025,Decent purchase for the price.,3,Neutral
1023,Customer service was unhelpful.,3,Negative
1022,Great product! Highly recommend.,1,Positive
1042,Decent purchase for the price.,3,Neutral
1025,Stopped working after a month.,5,Negative
1039,Great product! Highly recommend.,5,Positive
1032,Not satisfied with the quality.,1,Negative
1044,Could be better for the price.,3,Neutral
1013,Exceeded my expectations!,2,Positive
1007,Great product! Highly recommend.,3,Positive
1024,Not satisfied with the quality.,2,Negative
1019,Exceeded my expectations!,5,Positive
1050,Stopped working after a month.,2,Negative
1015,Decent purchase for the price.,3,Neutral
1034,Decent purchase for the price.,3,Neutral
1034,Exceeded my expectations!,5,Positive
1034,Decent purchase for the price.,3,Neutral
1005,Decent purchase for the price.,3,Neutral
1018,Could be better for the price.,3,Neutral
1047,Exceeded my expectations!,4,Positive
1027,Amazing features and great value.,4,Positive
1004,Fast delivery and good quality.,1,Positive
1024,Fast delivery and good quality.,3,Positive
1032,Not satisfied with the quality.,4,Negative
1012,The design is sleek and stylish.,1,Positive
1044,Fast delivery and good quality.,1,Positive
1015,Decent purchase for the price.,3,Neutral
1026,Decent purchase for the price.,3,Neutral
1016,Customer service was unhelpful.,5,Negative
1028,Amazing features and great value.,1,Positive
1001,Decent purchase for the price.,3,Neutral
1034,Decent purchase for the price.,3,Neutral
1039,Customer service was unhelpful.,2,Negative
1021,Amazing features and great value.,4,Positive
1011,Fast delivery and good quality.,5,Positive
1039,Amazing features and great value.,2,Positive
1017,Decent purchase for the price.,3,Neutral
1048,Amazing features and great value.,3,Positive
1034,Could be better for the price.,3,Neutral
1025,Fast delivery and good quality.,3,Positive
1013,The design is sleek and stylish.,4,Positive
1019,Customer service was unhelpful.,2,Negative
1018,Decent purchase for the price.,3,Neutral
1014,Could be better for the price.,3,Neutral
1031,Amazing features and great value.,3,Positive
1032,Not satisfied with the quality.,3,Negative
1020,Stopped working after a month.,4,Negative
1014,Could be better for the price.,3,Neutral
1048,Not satisfied with the quality.,1,Negative
1019,Great product! Highly recommend.,2,Positive
1022,The design is sleek and stylish.,3,Positive
1034,Could be better for the price.,3,Neutral
1015,Decent purchase for the price.,3,Neutral
1038,Decent purchase for the price.,3,Neutral
1047,Exceeded my expectations!,5,Positive
1031,Customer service was unhelpful.,2,Negative
1046,Could be better for the price.,3,Neutral
1028,Amazing features and great value.,2,Positive
1042,Could be better for the price.,3,Neutral
1034,Fast delivery and good quality.,1,Positive
1036,Great product! Highly recommend.,4,Positive
1022,Decent purchase for the price.,3,Neutral
1013,Not satisfied with the quality.,1,Negative
1026,Could be better for the price.,3,Neutral
1019,Customer service was unhelpful.,1,Negative
1007,Fast delivery and good quality.,1,Positive
1035,Customer service was unhelpful.,2,Negative
1009,Could be better for the price.,3,Neutral
1041,Amazing features and great value.,3,Positive
1015,Fast delivery and good quality.,3,Positive
1049,Not satisfied with the quality.,2,Negative
1021,The design is sleek and stylish.,3,Positive
1035,Not satisfied with the quality.,4,Negative
1043,Decent purchase for the price.,3,Neutral
1015,Could be better for the price.,3,Neutral
1016,Not satisfied with the quality.,1,Negative
1026,Stopped working after a month.,4,Negative
1050,Exceeded my expectations!,4,Positive
1003,Could be better for the price.,3,Neutral
1032,Stopped working after a month.,1,Negative
1036,Could be better for the price.,3,Neutral
1045,Not satisfied with the quality.,5,Negative
1035,Not satisfied with the quality.,5,Negative
1006,Customer service was unhelpful.,5,Negative
1036,Great product! Highly recommend.,1,Positive
1049,The design is sleek and stylish.,5,Positive
1029,Not satisfied with the quality.,2,Negative
1049,Not satisfied with the quality.,4,Negative
